Time,Irradiance,Temp,
0.25,923,38,
0.5,905,38,
0.75,889,38,
1,876,38,
1.25,898,38,
1.5,868,37,
1.75,859,37,
2,840,37,
2.25,848,37,
2.5,841,37,
2.75,742,35,
3,735,35,
3.25,682,34,
3.5,690,35,
3.75,647,33,
4,587,32,
4.25,589,32,
4.5,500,33,
4.75,450,35,
5,400,37,
5.25,350,34,
5.5,400,34,
5.75,450,34,
6,500,37,
6.25,550,37,
6.5,600,37,
6.75,700,37,
7,827,37,
7.25,851,37,
7.5,846,37,
7.75,842,37,
8,844,37,
8.25,836,37,
8.5,835,37,
8.75,831,37,
9,828,37,
9.25,833,37,
9.5,835,37,
9.75,837,37,
10,840,37,
