Time,Irradiance,Temp,
0.25,1400,103,
0.5,1400,103,
0.75,1400,103,
1,1400,103,
1.25,992,35,
1.5,946,28,
1.75,893,19,
2,848,11,
2.25,811,5,
2.5,717,-11,
2.75,474,-31,
3,249,-69,
3.25,100,-93,
3.5,50,-102,
3.75,0,-110,
4,0,-110,
4.25,0,-110,
4.5,0,-110,
4.75,50,-102,
5,100,-93,
5.25,250,-68,
5.5,419,-60,
5.75,605,-29,
6,846,11,
6.25,893,19,
6.5,946,28,
6.75,992,35,
7,1100,53,
7.25,1250,78,
7.5,1380,100,
7.75,1400,103,
8,1400,103,
8.25,1400,103,
8.5,1400,103,
8.75,1400,103,
9,1400,103,
9.25,1400,103,
9.5,1400,103,
9.75,1400,103,
10,1400,103,
